id;nama;deskripsi;jumlah;rarity;tahun_ditemukan
G032;Blessed Emerald Circlet;A/an Blessed Circlet that is made of Emerald. It has Blessed origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;19;A;508
G033;Grail;Just a/an normal Grail. It has no special effects.;254;C;1174
G034;Grand Gold Crossbow;A/an Grand Crossbow that is made of Gold. It has Grand origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;19;A;503
G035;Crossbow;Just a/an normal Crossbow. It has no special effects.;256;C;542
G036;Saber;Just a/an normal Saber. It has no special effects.;495;C;1455
G037;Dwarven Gold Pauldrons;A/an Dwarven Pauldrons that is made of Gold. It has Dwarven origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;15;A;1377
G038;Abyssal Copper Amulet of Water;A/an Abyssal Amulet that is made of Copper. It radiates Abyssal energy and when used will imbue its actions with the attribute of Water. Very rare!;5;S;1072
G039;Greataxe;Just a/an normal Greataxe. It has no special effects.;331;C;1077
G040;Copper Amulet;A/an Amulet that is made of Copper. Other than that it appears to have no special effects.;28;B;491
G041;Poisonous Iron Pauldrons;A/an Poisonous Pauldrons that is made of Iron. It has Poisonous origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;19;A;464
G042;Corrupted Platinum Whip;A/an Corrupted Whip that is made of Platinum. It has Corrupted origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;14;A;553
G043;Blessed Silver Amulet;A/an Blessed Amulet that is made of Silver. It has Blessed origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;16;A;680
G044;Jade Tiara;A/an Tiara that is made of Jade. Other than that it appears to have no special effects.;148;B;1395
G045;Jade Grail;A/an Grail that is made of Jade. Other than that it appears to have no special effects.;115;B;1347
G046;Poisonous Jade Necklace of Lightning;A/an Poisonous Necklace that is made of Jade. It radiates Poisonous energy and when used will imbue its actions with the attribute of Lightning. Very rare!;9;S;1343
G047;Emerald Whip;A/an Whip that is made of Emerald. Other than that it appears to have no special effects.;157;B;1052
G048;Silver Sword;A/an Sword that is made of Silver. Other than that it appears to have no special effects.;109;B;1289
G049;Copper Tiara;A/an Tiara that is made of Copper. Other than that it appears to have no special effects.;120;B;881
G050;Platinum Bracelet;A/an Bracelet that is made of Platinum. Other than that it appears to have no special effects.;125;B;220
G051;Emerald Bracelet;A/an Bracelet that is made of Emerald. Other than that it appears to have no special effects.;69;B;1122
G052;Explosive Iron Bracelet;A/an Explosive Bracelet that is made of Iron. It has Explosive origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;22;A;632
G053;Explosive Silver Sword;A/an Explosive Sword that is made of Silver. It has Explosive origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;9;A;684
G054;Poisonous Steel Ring;A/an Poisonous Ring that is made of Steel. It has Poisonous origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;13;A;1074
G055;Emerald Circlet;A/an Circlet that is made of Emerald. Other than that it appears to have no special effects.;17;B;827
G056;Divine Sapphire Pauldrons;A/an Divine Pauldrons that is made of Sapphire. It has Divine origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;14;A;746
G057;Spiritual Jade Grail;A/an Spiritual Grail that is made of Jade. It has Spiritual origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;14;A;1309
G058;Sapphire Greataxe;A/an Greataxe that is made of Sapphire. Other than that it appears to have no special effects.;112;B;564
G059;Elven Ruby Shield;A/an Elven Shield that is made of Ruby. It has Elven origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;19;A;529
G060;Jade Amulet;A/an Amulet that is made of Jade. Other than that it appears to have no special effects.;16;B;760
G061;Iron Grail;A/an Grail that is made of Iron. Other than that it appears to have no special effects.;47;B;1081
G062;Topaz Crown;A/an Crown that is made of Topaz. Other than that it appears to have no special effects.;191;B;575
G063;Ruby Key;A/an Key that is made of Ruby. Other than that it appears to have no special effects.;179;B;56
G064;Iron Crossbow;A/an Crossbow that is made of Iron. Other than that it appears to have no special effects.;89;B;452
G065;Grand Gold Bracelet;A/an Grand Bracelet that is made of Gold. It has Grand origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;8;A;134
G066;Chaotic Gold Robe;A/an Chaotic Robe that is made of Gold. It has Chaotic origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;30;A;1234
G067;Evil Topaz Amulet;A/an Evil Amulet that is made of Topaz. It has Evil origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;5;A;379
G068;Gold Whip;A/an Whip that is made of Gold. Other than that it appears to have no special effects.;116;B;1435
G069;Amulet;Just a/an normal Amulet. It has no special effects.;968;C;442
G070;Copper Ring;A/an Ring that is made of Copper. Other than that it appears to have no special effects.;198;B;1200
G071;Elven Ruby Greataxe;A/an Elven Greataxe that is made of Ruby. It has Elven origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;7;A;1365
G072;Sapphire Robe;A/an Robe that is made of Sapphire. Other than that it appears to have no special effects.;195;B;546
G073;Spiritual Platinum Bracelet;A/an Spiritual Bracelet that is made of Platinum. It has Spiritual origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;20;A;916
G074;Jade Saber;A/an Saber that is made of Jade. Other than that it appears to have no special effects.;197;B;1296
G075;Chaotic Emerald Necklace;A/an Chaotic Necklace that is made of Emerald. It has Chaotic origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;9;A;629
G076;Evil Gold Necklace;A/an Evil Necklace that is made of Gold. It has Evil origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;21;A;1012
G077;Poisonous Gold Necklace;A/an Poisonous Necklace that is made of Gold. It has Poisonous origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;12;A;676
G078;Silver Bracelet;A/an Bracelet that is made of Silver. Other than that it appears to have no special effects.;26;B;1472
G079;Ruby Necklace;A/an Necklace that is made of Ruby. Other than that it appears to have no special effects.;85;B;365
G080;Grand Topaz Bow of Death;A/an Grand Bow that is made of Topaz. It radiates Grand energy and when used will imbue its actions with the attribute of Death. Very rare!;2;S;1449
G081;Ruby Cloak;A/an Cloak that is made of Ruby. Other than that it appears to have no special effects.;12;B;432
G082;Evil Copper Greataxe;A/an Evil Greataxe that is made of Copper. It has Evil origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;24;A;1258
G083;Spiritual Copper Bracelet of Space;A/an Spiritual Bracelet that is made of Copper. It radiates Spiritual energy and when used will imbue its actions with the attribute of Space. Very rare!;1;S;374
G084;Jade Ring;A/an Ring that is made of Jade. Other than that it appears to have no special effects.;145;B;1479
G085;Divine Copper Circlet;A/an Divine Circlet that is made of Copper. It has Divine origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;7;A;3
G086;Abyssal Copper Sword;A/an Abyssal Sword that is made of Copper. It has Abyssal origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;8;A;1499
G087;Gold Key;A/an Key that is made of Gold. Other than that it appears to have no special effects.;38;B;752
G088;Copper Key;A/an Key that is made of Copper. Other than that it appears to have no special effects.;144;B;517
G089;Ruby Whip;A/an Whip that is made of Ruby. Other than that it appears to have no special effects.;143;B;559
G090;Grand Platinum Greataxe;A/an Grand Greataxe that is made of Platinum. It has Grand origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;15;A;1243
G091;Steel Ring;A/an Ring that is made of Steel. Other than that it appears to have no special effects.;47;B;683
G092;Ruby Bracelet;A/an Bracelet that is made of Ruby. Other than that it appears to have no special effects.;15;B;333
G093;Spiritual Gold Ring;A/an Spiritual Ring that is made of Gold. It has Spiritual origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;21;A;249
G094;Divine Platinum Pauldrons;A/an Divine Pauldrons that is made of Platinum. It has Divine origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;14;A;859
G095;Jade Bow;A/an Bow that is made of Jade. Other than that it appears to have no special effects.;74;B;708
G096;Grand Emerald Bracelet;A/an Grand Bracelet that is made of Emerald. It has Grand origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;29;A;1076
G097;Circlet;Just a/an normal Circlet. It has no special effects.;870;C;286
G098;Gold Bow;A/an Bow that is made of Gold. Other than that it appears to have no special effects.;180;B;1069
G099;Sapphire Hairpin;A/an Hairpin that is made of Sapphire. Other than that it appears to have no special effects.;40;B;1109
G100;Jade Key;A/an Key that is made of Jade. Other than that it appears to have no special effects.;67;B;39
G101;Steel Tome;A/an Tome that is made of Steel. Other than that it appears to have no special effects.;77;B;1219
G102;Platinum Circlet;A/an Circlet that is made of Platinum. Other than that it appears to have no special effects.;53;B;76
G103;Evil Jade Armor of Earth;A/an Evil Armor that is made of Jade. It radiates Evil energy and when used will imbue its actions with the attribute of Earth. Very rare!;7;S;1392
G104;Sapphire Amulet;A/an Amulet that is made of Sapphire. Other than that it appears to have no special effects.;24;B;439
G105;Abyssal Silver Necklace;A/an Abyssal Necklace that is made of Silver. It has Abyssal origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;30;A;693
G106;Ring;Just a/an normal Ring. It has no special effects.;587;C;348
G107;Topaz Crossbow;A/an Crossbow that is made of Topaz. Other than that it appears to have no special effects.;70;B;406
G108;Jade Hairpin;A/an Hairpin that is made of Jade. Other than that it appears to have no special effects.;38;B;554
G109;Gold Shield;A/an Shield that is made of Gold. Other than that it appears to have no special effects.;158;B;442
G110;Grand Ruby Key;A/an Grand Key that is made of Ruby. It has Grand origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;11;A;957
G111;Silver Amulet;A/an Amulet that is made of Silver. Other than that it appears to have no special effects.;100;B;1193
G112;Grand Gold Tome;A/an Grand Tome that is made of Gold. It has Grand origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;12;A;745
G113;Magical Steel Bracelet;A/an Magical Bracelet that is made of Steel. It has Magical origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;10;A;390
G114;Grand Silver Key;A/an Grand Key that is made of Silver. It has Grand origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;30;A;354
G115;Platinum Whip;A/an Whip that is made of Platinum. Other than that it appears to have no special effects.;161;B;318
G116;Divine Topaz Grail;A/an Divine Grail that is made of Topaz. It has Divine origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;29;A;576
G117;Grand Emerald Cloak of Earth;A/an Grand Cloak that is made of Emerald. It radiates Grand energy and when used will imbue its actions with the attribute of Earth. Very rare!;4;S;752
G118;Dwarven Iron Whip;A/an Dwarven Whip that is made of Iron. It has Dwarven origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;8;A;1130
G119;Steel Whip;A/an Whip that is made of Steel. Other than that it appears to have no special effects.;72;B;622
G120;Gold Bracelet;A/an Bracelet that is made of Gold. Other than that it appears to have no special effects.;155;B;409
G121;Blessed Iron Necklace;A/an Blessed Necklace that is made of Iron. It has Blessed origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;23;A;592
G122;Topaz Ring;A/an Ring that is made of Topaz. Other than that it appears to have no special effects.;196;B;264
G123;Iron Amulet;A/an Amulet that is made of Iron. Other than that it appears to have no special effects.;191;B;1284
G124;Emerald Cleats;A/an Cleats that is made of Emerald. Other than that it appears to have no special effects.;29;B;355
G125;Iron Crown;A/an Crown that is made of Iron. Other than that it appears to have no special effects.;65;B;182
G126;Copper Saber;A/an Saber that is made of Copper. Other than that it appears to have no special effects.;154;B;487
G127;Steel Hairpin;A/an Hairpin that is made of Steel. Other than that it appears to have no special effects.;54;B;108
G128;Ruby Shield;A/an Shield that is made of Ruby. Other than that it appears to have no special effects.;99;B;1291
G129;Divine Iron Saber;A/an Divine Saber that is made of Iron. It has Divine origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;22;A;685
G130;Dwarven Steel Greataxe of Light;A/an Dwarven Greataxe that is made of Steel. It radiates Dwarven energy and when used will imbue its actions with the attribute of Light. Very rare!;7;S;307
G131;Topaz Bow;A/an Bow that is made of Topaz. Other than that it appears to have no special effects.;104;B;1108
G132;Platinum Key;A/an Key that is made of Platinum. Other than that it appears to have no special effects.;48;B;3
G133;Abyssal Platinum Key;A/an Abyssal Key that is made of Platinum. It has Abyssal origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;24;A;78
G134;Silver Crossbow;A/an Crossbow that is made of Silver. Other than that it appears to have no special effects.;154;B;505
G135;Cleats;Just a/an normal Cleats. It has no special effects.;322;C;1429
G136;Steel Necklace;A/an Necklace that is made of Steel. Other than that it appears to have no special effects.;156;B;611
G137;Blessed Iron Crossbow;A/an Blessed Crossbow that is made of Iron. It has Blessed origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;30;A;44
G138;Iron Greataxe;A/an Greataxe that is made of Iron. Other than that it appears to have no special effects.;80;B;1194
G139;Steel Amulet;A/an Amulet that is made of Steel. Other than that it appears to have no special effects.;112;B;72
G140;Spiritual Ruby Circlet;A/an Spiritual Circlet that is made of Ruby. It has Spiritual origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;8;A;1136
G141;Copper Bow;A/an Bow that is made of Copper. Other than that it appears to have no special effects.;193;B;582
G142;Topaz Key;A/an Key that is made of Topaz. Other than that it appears to have no special effects.;171;B;613
G143;Silver Armor;A/an Armor that is made of Silver. Other than that it appears to have no special effects.;80;B;4
G144;Abyssal Gold Key;A/an Abyssal Key that is made of Gold. It has Abyssal origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;13;A;310
G145;Silver Greataxe;A/an Greataxe that is made of Silver. Other than that it appears to have no special effects.;81;B;1493
G146;Divine Silver Crown;A/an Divine Crown that is made of Silver. It has Divine origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;17;A;871
G147;Gold Crossbow;A/an Crossbow that is made of Gold. Other than that it appears to have no special effects.;34;B;1190
G148;Grand Ruby Robe;A/an Grand Robe that is made of Ruby. It has Grand origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;14;A;1001
G149;Iron Hairpin;A/an Hairpin that is made of Iron. Other than that it appears to have no special effects.;60;B;373
G150;Key;Just a/an normal Key. It has no special effects.;323;C;1010
G151;Explosive Platinum Tiara;A/an Explosive Tiara that is made of Platinum. It has Explosive origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;20;A;513
G152;Corrupted Ruby Amulet of Water;A/an Corrupted Amulet that is made of Ruby. It radiates Corrupted energy and when used will imbue its actions with the attribute of Water. Very rare!;3;S;829
G153;Whip;Just a/an normal Whip. It has no special effects.;125;C;199
G154;Emerald Key;A/an Key that is made of Emerald. Other than that it appears to have no special effects.;122;B;611
G155;Divine Gold Tiara of Wind;A/an Divine Tiara that is made of Gold. It radiates Divine energy and when used will imbue its actions with the attribute of Wind. Very rare!;5;S;270
G156;Gold Crown;A/an Crown that is made of Gold. Other than that it appears to have no special effects.;163;B;674
G157;Explosive Copper Key;A/an Explosive Key that is made of Copper. It has Explosive origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;13;A;1291
G158;Magical Sapphire Robe;A/an Magical Robe that is made of Sapphire. It has Magical origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;25;A;575
G159;Divine Emerald Robe;A/an Divine Robe that is made of Emerald. It has Divine origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;30;A;896
G160;Abyssal Platinum Cloak of Earth;A/an Abyssal Cloak that is made of Platinum. It radiates Abyssal energy and when used will imbue its actions with the attribute of Earth. Very rare!;8;S;832
G161;Abyssal Ruby Crown;A/an Abyssal Crown that is made of Ruby. It has Abyssal origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;28;A;1315
G162;Blessed Emerald Amulet;A/an Blessed Amulet that is made of Emerald. It has Blessed origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;5;A;1271
G163;Poisonous Iron Bracelet;A/an Poisonous Bracelet that is made of Iron. It has Poisonous origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;28;A;1175
G164;Explosive Emerald Ring;A/an Explosive Ring that is made of Emerald. It has Explosive origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;25;A;782
G165;Grand Steel Ring;A/an Grand Ring that is made of Steel. It has Grand origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;27;A;1211
G166;Sapphire Whip;A/an Whip that is made of Sapphire. Other than that it appears to have no special effects.;118;B;106
G167;Pauldrons;Just a/an normal Pauldrons. It has no special effects.;296;C;1010
G168;Armor;Just a/an normal Armor. It has no special effects.;760;C;1253
G169;Corrupted Copper Cleats;A/an Corrupted Cleats that is made of Copper. It has Corrupted origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;5;A;1431
G170;Jade Sword;A/an Sword that is made of Jade. Other than that it appears to have no special effects.;33;B;1341
G171;Spiritual Iron Circlet;A/an Spiritual Circlet that is made of Iron. It has Spiritual origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;29;A;1136
G172;Grand Copper Bow;A/an Grand Bow that is made of Copper. It has Grand origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;14;A;862
G173;Bracelet;Just a/an normal Bracelet. It has no special effects.;786;C;1096
G174;Necklace;Just a/an normal Necklace. It has no special effects.;280;C;1044
G175;Platinum Amulet;A/an Amulet that is made of Platinum. Other than that it appears to have no special effects.;66;B;314
G176;Sword;Just a/an normal Sword. It has no special effects.;464;C;690
G177;Grand Topaz Shield;A/an Grand Shield that is made of Topaz. It has Grand origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;11;A;1098
G178;Iron Circlet;A/an Circlet that is made of Iron. Other than that it appears to have no special effects.;50;B;187
G179;Evil Copper Amulet;A/an Evil Amulet that is made of Copper. It has Evil origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;6;A;1389
G180;Ruby Greataxe;A/an Greataxe that is made of Ruby. Other than that it appears to have no special effects.;197;B;333
G181;Elven Jade Greataxe;A/an Elven Greataxe that is made of Jade. It has Elven origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;19;A;10
G182;Divine Platinum Saber of Light;A/an Divine Saber that is made of Platinum. It radiates Divine energy and when used will imbue its actions with the attribute of Light. Very rare!;3;S;171
G183;Gold Ring;A/an Ring that is made of Gold. Other than that it appears to have no special effects.;67;B;468
G184;Blessed Copper Robe;A/an Blessed Robe that is made of Copper. It has Blessed origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;30;A;90
G185;Iron Whip;A/an Whip that is made of Iron. Other than that it appears to have no special effects.;44;B;74
G186;Grand Platinum Tome;A/an Grand Tome that is made of Platinum. It has Grand origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;5;A;1029
G187;Gold Greataxe;A/an Greataxe that is made of Gold. Other than that it appears to have no special effects.;137;B;257
G188;Platinum Shield;A/an Shield that is made of Platinum. Other than that it appears to have no special effects.;95;B;1188
G189;Chaotic Iron Circlet;A/an Chaotic Circlet that is made of Iron. It has Chaotic origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;10;A;1086
G190;Chaotic Jade Greataxe of Space;A/an Chaotic Greataxe that is made of Jade. It radiates Chaotic energy and when used will imbue its actions with the attribute of Space. Very rare!;7;S;673
G191;Steel Grail;A/an Grail that is made of Steel. Other than that it appears to have no special effects.;83;B;323
G192;Grand Copper Necklace;A/an Grand Necklace that is made of Copper. It has Grand origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;10;A;45
G193;Cloak;Just a/an normal Cloak. It has no special effects.;183;C;1076
G194;Evil Topaz Cleats;A/an Evil Cleats that is made of Topaz. It has Evil origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;27;A;523
G195;Abyssal Steel Amulet of Water;A/an Abyssal Amulet that is made of Steel. It radiates Abyssal energy and when used will imbue its actions with the attribute of Water. Very rare!;5;S;360
G196;Tiara;Just a/an normal Tiara. It has no special effects.;431;C;197
G197;Emerald Armor;A/an Armor that is made of Emerald. Other than that it appears to have no special effects.;29;B;293
G198;Ruby Pauldrons;A/an Pauldrons that is made of Ruby. Other than that it appears to have no special effects.;12;B;927
G199;Explosive Ruby Amulet;A/an Explosive Amulet that is made of Ruby. It has Explosive origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;16;A;733
G200;Explosive Silver Pauldrons;A/an Explosive Pauldrons that is made of Silver. It has Explosive origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;7;A;104
G201;Blessed Iron Robe;A/an Blessed Robe that is made of Iron. It has Blessed origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;12;A;194
G202;Dwarven Emerald Cloak;A/an Dwarven Cloak that is made of Emerald. It has Dwarven origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;27;A;700
G203;Magical Platinum Grail;A/an Magical Grail that is made of Platinum. It has Magical origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;13;A;1306
G204;Sapphire Bow;A/an Bow that is made of Sapphire. Other than that it appears to have no special effects.;81;B;537
G205;Emerald Tiara;A/an Tiara that is made of Emerald. Other than that it appears to have no special effects.;72;B;143
G206;Blessed Copper Sword;A/an Blessed Sword that is made of Copper. It has Blessed origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;11;A;873
G207;Copper Greataxe;A/an Greataxe that is made of Copper. Other than that it appears to have no special effects.;48;B;589
G208;Steel Circlet;A/an Circlet that is made of Steel. Other than that it appears to have no special effects.;161;B;552
G209;Abyssal Gold Grail;A/an Abyssal Grail that is made of Gold. It has Abyssal origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;12;A;458
G210;Abyssal Sapphire Circlet of Time;A/an Abyssal Circlet that is made of Sapphire. It radiates Abyssal energy and when used will imbue its actions with the attribute of Time. Very rare!;5;S;672
G211;Ruby Cleats;A/an Cleats that is made of Ruby. Other than that it appears to have no special effects.;136;B;462
G212;Dwarven Platinum Hairpin;A/an Dwarven Hairpin that is made of Platinum. It has Dwarven origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;28;A;87
G213;Elven Gold Necklace of Ice;A/an Elven Necklace that is made of Gold. It radiates Elven energy and when used will imbue its actions with the attribute of Ice. Very rare!;3;S;172
G214;Evil Emerald Tiara;A/an Evil Tiara that is made of Emerald. It has Evil origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;30;A;10
G215;Silver Necklace;A/an Necklace that is made of Silver. Other than that it appears to have no special effects.;197;B;1221
G216;Magical Jade Necklace;A/an Magical Necklace that is made of Jade. It has Magical origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;10;A;480
G217;Platinum Crown;A/an Crown that is made of Platinum. Other than that it appears to have no special effects.;76;B;242
G218;Sapphire Pauldrons;A/an Pauldrons that is made of Sapphire. Other than that it appears to have no special effects.;78;B;816
G219;Elven Sapphire Sword;A/an Elven Sword that is made of Sapphire. It has Elven origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;19;A;52
G220;Grand Sapphire Grail;A/an Grand Grail that is made of Sapphire. It has Grand origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;13;A;271
G221;Ruby Armor;A/an Armor that is made of Ruby. Other than that it appears to have no special effects.;103;B;436
G222;Corrupted Silver Robe;A/an Corrupted Robe that is made of Silver. It has Corrupted origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;13;A;291
G223;Copper Pauldrons;A/an Pauldrons that is made of Copper. Other than that it appears to have no special effects.;164;B;459
G224;Dwarven Sapphire Tiara of Venom;A/an Dwarven Tiara that is made of Sapphire. It radiates Dwarven energy and when used will imbue its actions with the attribute of Venom. Very rare!;8;S;804
G225;Iron Armor;A/an Armor that is made of Iron. Other than that it appears to have no special effects.;168;B;1262
G226;Evil Copper Tiara;A/an Evil Tiara that is made of Copper. It has Evil origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;11;A;598
G227;Gold Sword;A/an Sword that is made of Gold. Other than that it appears to have no special effects.;187;B;719
G228;Evil Topaz Pauldrons;A/an Evil Pauldrons that is made of Topaz. It has Evil origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;18;A;261
G229;Blessed Copper Crossbow of Water;A/an Blessed Crossbow that is made of Copper. It radiates Blessed energy and when used will imbue its actions with the attribute of Water. Very rare!;3;S;59
G230;Evil Ruby Crossbow;A/an Evil Crossbow that is made of Ruby. It has Evil origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;28;A;454
G231;Explosive Topaz Tiara;A/an Explosive Tiara that is made of Topaz. It has Explosive origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;15;A;476
