id;nama;deskripsi;jumlah;rarity
C031;Explosive Ruby Smoothies;Explosive Smoothies that are seemingly made of Ruby. They radiate Explosive energy and their effects are unknown though one might surmise them from its name.;11;A
C032;Steel Sigils;Sigils that seem to be made of Steel. Other than that they appear to have no special effects.;32;B
C033;Sapphire Sigils;Sigils that seem to be made of Sapphire. Other than that they appear to have no special effects.;14;B
C034;Emerald Carps;Carps that seem to be made of Emerald. Other than that they appear to have no special effects.;151;B
C035;Steel Pearls;Pearls that seem to be made of Steel. Other than that they appear to have no special effects.;134;B
C036;Grand Gold Peaches of Infatuation;Grand Peaches that are seemingly made of Gold. They radiate Grand energy and when used/consumed will have the effect of Infatuation. Very rare!;6;S
C037;Magical Topaz Salmon;Magical Salmon that are seemingly made of Topaz. They radiate Magical energy and their effects are unknown though one might surmise them from its name.;7;A
C038;Divine Platinum Juices;Divine Juices that are seemingly made of Platinum. They radiate Divine energy and their effects are unknown though one might surmise them from its name.;18;A
C039;Peaches;Just normal Peaches. They have no special effects.;408;C
C040;Liquids;Just normal Liquids. They have no special effects.;734;C
C041;Evil Steel Pears of Fulfilling;Evil Pears that are seemingly made of Steel. They radiate Evil energy and when used/consumed will have the effect of Fulfilling. Very rare!;2;S
C042;Jade Arrows;Arrows that seem to be made of Jade. Other than that they appear to have no special effects.;71;B
C043;Gold Cupcakes;Cupcakes that seem to be made of Gold. Other than that they appear to have no special effects.;58;B
C044;Copper Smoothies;Smoothies that seem to be made of Copper. Other than that they appear to have no special effects.;100;B
C045;Emerald Sigils;Sigils that seem to be made of Emerald. Other than that they appear to have no special effects.;80;B
C046;Blessed Copper Sigils;Blessed Sigils that are seemingly made of Copper. They radiate Blessed energy and their effects are unknown though one might surmise them from its name.;22;A
C047;Grand Silver Salmon;Grand Salmon that are seemingly made of Silver. They radiate Grand energy and their effects are unknown though one might surmise them from its name.;29;A
C048;Copper Beads;Beads that seem to be made of Copper. Other than that they appear to have no special effects.;141;B
C049;Copper Milk Cartons;Milk Cartons that seem to be made of Copper. Other than that they appear to have no special effects.;122;B
C050;Grand Topaz Juices of Rejuvenation;Grand Juices that are seemingly made of Topaz. They radiate Grand energy and when used/consumed will have the effect of Rejuvenation. Very rare!;2;S
C051;Bread Cloves;Just normal Bread Cloves. They have no special effects.;134;C
C052;Grand Steel Mushrooms;Grand Mushrooms that are seemingly made of Steel. They radiate Grand energy and their effects are unknown though one might surmise them from its name.;29;A
C053;Spiritual Topaz Milk Cartons;Spiritual Milk Cartons that are seemingly made of Topaz. They radiate Spiritual energy and their effects are unknown though one might surmise them from its name.;29;A
C054;Iron Liquids;Liquids that seem to be made of Iron. Other than that they appear to have no special effects.;67;B
C055;Chaotic Topaz Pills of Fulfilling;Chaotic Pills that are seemingly made of Topaz. They radiate Chaotic energy and when used/consumed will have the effect of Fulfilling. Very rare!;6;S
C056;Copper Panties;Panties that seem to be made of Copper. Other than that they appear to have no special effects.;76;B
C057;Beads;Just normal Beads. They have no special effects.;709;C
C058;Gold Salmon;Salmon that seem to be made of Gold. Other than that they appear to have no special effects.;32;B
C059;Carps;Just normal Carps. They have no special effects.;500;C
C060;Divine Platinum Energy Drinks;Divine Energy Drinks that are seemingly made of Platinum. They radiate Divine energy and their effects are unknown though one might surmise them from its name.;6;A
C061;Juices;Just normal Juices. They have no special effects.;472;C
C062;Sigils;Just normal Sigils. They have no special effects.;146;C
C063;Poisonous Platinum Bread Cloves;Poisonous Bread Cloves that are seemingly made of Platinum. They radiate Poisonous energy and their effects are unknown though one might surmise them from its name.;13;A
C064;Topaz Carps;Carps that seem to be made of Topaz. Other than that they appear to have no special effects.;79;B
C065;Abyssal Platinum Sigils of Entrancement;Abyssal Sigils that are seemingly made of Platinum. They radiate Abyssal energy and when used/consumed will have the effect of Entrancement. Very rare!;6;S
C066;Pills;Just normal Pills. They have no special effects.;583;C
C067;Ruby Energy Drinks;Energy Drinks that seem to be made of Ruby. Other than that they appear to have no special effects.;14;B
C068;Iron Salmon;Salmon that seem to be made of Iron. Other than that they appear to have no special effects.;71;B
C069;Jade Bread Cloves;Bread Cloves that seem to be made of Jade. Other than that they appear to have no special effects.;17;B
C070;Emerald Potions;Potions that seem to be made of Emerald. Other than that they appear to have no special effects.;46;B
C071;Evil Silver Mushrooms;Evil Mushrooms that are seemingly made of Silver. They radiate Evil energy and their effects are unknown though one might surmise them from its name.;10;A
C072;Silver Salmon;Salmon that seem to be made of Silver. Other than that they appear to have no special effects.;176;B
C073;Silver Bread Cloves;Bread Cloves that seem to be made of Silver. Other than that they appear to have no special effects.;109;B
C074;Elven Platinum Carps;Elven Carps that are seemingly made of Platinum. They radiate Elven energy and their effects are unknown though one might surmise them from its name.;21;A
C075;Divine Gold Essences of Rejuvenation;Divine Essences that are seemingly made of Gold. They radiate Divine energy and when used/consumed will have the effect of Rejuvenation. Very rare!;5;S
C076;Sapphire Candies;Candies that seem to be made of Sapphire. Other than that they appear to have no special effects.;137;B
C077;Evil Ruby Pills;Evil Pills that are seemingly made of Ruby. They radiate Evil energy and their effects are unknown though one might surmise them from its name.;28;A
C078;Sapphire Apples;Apples that seem to be made of Sapphire. Other than that they appear to have no special effects.;22;B
C079;Copper Carps;Carps that seem to be made of Copper. Other than that they appear to have no special effects.;184;B
C080;Sapphire Salmon;Salmon that seem to be made of Sapphire. Other than that they appear to have no special effects.;111;B
C081;Blessed Emerald Liquids;Blessed Liquids that are seemingly made of Emerald. They radiate Blessed energy and their effects are unknown though one might surmise them from its name.;21;A
C082;Emerald Arrows;Arrows that seem to be made of Emerald. Other than that they appear to have no special effects.;119;B
C083;Milk Cartons;Just normal Milk Cartons. They have no special effects.;653;C
C084;Divine Gold Arrows of Focus;Divine Arrows that are seemingly made of Gold. They radiate Divine energy and when used/consumed will have the effect of Focus. Very rare!;8;S
C085;Silver Carps;Carps that seem to be made of Silver. Other than that they appear to have no special effects.;112;B
C086;Sapphire Pears;Pears that seem to be made of Sapphire. Other than that they appear to have no special effects.;76;B
C087;Corrupted Emerald Liquids;Corrupted Liquids that are seemingly made of Emerald. They radiate Corrupted energy and their effects are unknown though one might surmise them from its name.;10;A
C088;Jade Potions;Potions that seem to be made of Jade. Other than that they appear to have no special effects.;148;B
C089;Cupcakes;Just normal Cupcakes. They have no special effects.;571;C
C090;Evil Jade Pills;Evil Pills that are seemingly made of Jade. They radiate Evil energy and their effects are unknown though one might surmise them from its name.;27;A
C091;Energy Drinks;Just normal Energy Drinks. They have no special effects.;824;C
C092;Magical Gold Panties;Magical Panties that are seemingly made of Gold. They radiate Magical energy and their effects are unknown though one might surmise them from its name.;29;A
C093;Elven Steel Apples;Elven Apples that are seemingly made of Steel. They radiate Elven energy and their effects are unknown though one might surmise them from its name.;6;A
C094;Blessed Topaz Carps;Blessed Carps that are seemingly made of Topaz. They radiate Blessed energy and their effects are unknown though one might surmise them from its name.;9;A
C095;Topaz Arrows;Arrows that seem to be made of Topaz. Other than that they appear to have no special effects.;14;B
C096;Steel Arrows;Arrows that seem to be made of Steel. Other than that they appear to have no special effects.;166;B
C097;Chaotic Jade Sigils;Chaotic Sigils that are seemingly made of Jade. They radiate Chaotic energy and their effects are unknown though one might surmise them from its name.;8;A
C098;Ruby Cupcakes;Cupcakes that seem to be made of Ruby. Other than that they appear to have no special effects.;39;B
C099;Spiritual Copper Sigils;Spiritual Sigils that are seemingly made of Copper. They radiate Spiritual energy and their effects are unknown though one might surmise them from its name.;11;A
C100;Poisonous Topaz Panties;Poisonous Panties that are seemingly made of Topaz. They radiate Poisonous energy and their effects are unknown though one might surmise them from its name.;15;A
C101;Explosive Topaz Mushrooms;Explosive Mushrooms that are seemingly made of Topaz. They radiate Explosive energy and their effects are unknown though one might surmise them from its name.;30;A
C102;Silver Smoothies;Smoothies that seem to be made of Silver. Other than that they appear to have no special effects.;131;B
C103;Emerald Pears;Pears that seem to be made of Emerald. Other than that they appear to have no special effects.;126;B
C104;Blessed Sapphire Apples of Restoration;Blessed Apples that are seemingly made of Sapphire. They radiate Blessed energy and when used/consumed will have the effect of Restoration. Very rare!;4;S
C105;Jade Milk Cartons;Milk Cartons that seem to be made of Jade. Other than that they appear to have no special effects.;131;B
C106;Spiritual Silver Apples of Fulfilling;Spiritual Apples that are seemingly made of Silver. They radiate Spiritual energy and when used/consumed will have the effect of Fulfilling. Very rare!;7;S
C107;Grand Steel Panties;Grand Panties that are seemingly made of Steel. They radiate Grand energy and their effects are unknown though one might surmise them from its name.;8;A
C108;Steel Panties;Panties that seem to be made of Steel. Other than that they appear to have no special effects.;30;B
C109;Chaotic Copper Carps;Chaotic Carps that are seemingly made of Copper. They radiate Chaotic energy and their effects are unknown though one might surmise them from its name.;16;A
C110;Dwarven Emerald Pills;Dwarven Pills that are seemingly made of Emerald. They radiate Dwarven energy and their effects are unknown though one might surmise them from its name.;8;A
C111;Elven Emerald Liquids;Elven Liquids that are seemingly made of Emerald. They radiate Elven energy and their effects are unknown though one might surmise them from its name.;18;A
C112;Steel Peaches;Peaches that seem to be made of Steel. Other than that they appear to have no special effects.;144;B
C113;Chaotic Topaz Mushrooms;Chaotic Mushrooms that are seemingly made of Topaz. They radiate Chaotic energy and their effects are unknown though one might surmise them from its name.;9;A
C114;Iron Mushrooms;Mushrooms that seem to be made of Iron. Other than that they appear to have no special effects.;52;B
C115;Explosive Topaz Juices;Explosive Juices that are seemingly made of Topaz. They radiate Explosive energy and their effects are unknown though one might surmise them from its name.;28;A
C116;Arrows;Just normal Arrows. They have no special effects.;159;C
C117;Ruby Smoothies;Smoothies that seem to be made of Ruby. Other than that they appear to have no special effects.;17;B
C118;Dwarven Steel Peaches;Dwarven Peaches that are seemingly made of Steel. They radiate Dwarven energy and their effects are unknown though one might surmise them from its name.;20;A
C119;Blessed Sapphire Sigils;Blessed Sigils that are seemingly made of Sapphire. They radiate Blessed energy and their effects are unknown though one might surmise them from its name.;7;A
C120;Spiritual Copper Panties;Spiritual Panties that are seemingly made of Copper. They radiate Spiritual energy and their effects are unknown though one might surmise them from its name.;24;A
C121;Corrupted Jade Peaches;Corrupted Peaches that are seemingly made of Jade. They radiate Corrupted energy and their effects are unknown though one might surmise them from its name.;27;A
C122;Sapphire Liquids;Liquids that seem to be made of Sapphire. Other than that they appear to have no special effects.;57;B
C123;Blessed Steel Beads;Blessed Beads that are seemingly made of Steel. They radiate Blessed energy and their effects are unknown though one might surmise them from its name.;6;A
C124;Iron Bread Cloves;Bread Cloves that seem to be made of Iron. Other than that they appear to have no special effects.;42;B
C125;Poisonous Emerald Salmon;Poisonous Salmon that are seemingly made of Emerald. They radiate Poisonous energy and their effects are unknown though one might surmise them from its name.;8;A
C126;Abyssal Silver Sigils;Abyssal Sigils that are seemingly made of Silver. They radiate Abyssal energy and their effects are unknown though one might surmise them from its name.;26;A
C127;Jade Candies;Candies that seem to be made of Jade. Other than that they appear to have no special effects.;142;B
C128;Abyssal Gold Salmon;Abyssal Salmon that are seemingly made of Gold. They radiate Abyssal energy and their effects are unknown though one might surmise them from its name.;16;A
C129;Apples;Just normal Apples. They have no special effects.;707;C
C130;Magical Gold Peaches;Magical Peaches that are seemingly made of Gold. They radiate Magical energy and their effects are unknown though one might surmise them from its name.;18;A
C131;Elven Topaz Beads;Elven Beads that are seemingly made of Topaz. They radiate Elven energy and their effects are unknown though one might surmise them from its name.;8;A
C132;Elven Steel Arrows;Elven Arrows that are seemingly made of Steel. They radiate Elven energy and their effects are unknown though one might surmise them from its name.;10;A
C133;Topaz Beads;Beads that seem to be made of Topaz. Other than that they appear to have no special effects.;109;B
C134;Grand Jade Peaches;Grand Peaches that are seemingly made of Jade. They radiate Grand energy and their effects are unknown though one might surmise them from its name.;24;A
C135;Magical Gold Candies;Magical Candies that are seemingly made of Gold. They radiate Magical energy and their effects are unknown though one might surmise them from its name.;21;A
C136;Platinum Salmon;Salmon that seem to be made of Platinum. Other than that they appear to have no special effects.;182;B
C137;Iron Juices;Juices that seem to be made of Iron. Other than that they appear to have no special effects.;89;B
C138;Copper Arrows;Arrows that seem to be made of Copper. Other than that they appear to have no special effects.;40;B
C139;Spiritual Gold Potions of Flying;Spiritual Potions that are seemingly made of Gold. They radiate Spiritual energy and when used/consumed will have the effect of Flying. Very rare!;2;S
C140;Magical Silver Carps;Magical Carps that are seemingly made of Silver. They radiate Magical energy and their effects are unknown though one might surmise them from its name.;5;A
C141;Jade Cupcakes;Cupcakes that seem to be made of Jade. Other than that they appear to have no special effects.;194;B
C142;Grand Iron Juices;Grand Juices that are seemingly made of Iron. They radiate Grand energy and their effects are unknown though one might surmise them from its name.;28;A
C143;Emerald Salmon;Salmon that seem to be made of Emerald. Other than that they appear to have no special effects.;19;B
C144;Emerald Essences;Essences that seem to be made of Emerald. Other than that they appear to have no special effects.;72;B
C145;Topaz Juices;Juices that seem to be made of Topaz. Other than that they appear to have no special effects.;32;B
C146;Grand Sapphire Apples;Grand Apples that are seemingly made of Sapphire. They radiate Grand energy and their effects are unknown though one might surmise them from its name.;7;A
C147;Spiritual Jade Mushrooms of Focus;Spiritual Mushrooms that are seemingly made of Jade. They radiate Spiritual energy and when used/consumed will have the effect of Focus. Very rare!;5;S
C148;Topaz Panties;Panties that seem to be made of Topaz. Other than that they appear to have no special effects.;78;B
C149;Sapphire Juices;Juices that seem to be made of Sapphire. Other than that they appear to have no special effects.;119;B
C150;Ruby Sigils;Sigils that seem to be made of Ruby. Other than that they appear to have no special effects.;129;B
C151;Ruby Pears;Pears that seem to be made of Ruby. Other than that they appear to have no special effects.;137;B
C152;Silver Potions;Potions that seem to be made of Silver. Other than that they appear to have no special effects.;102;B
C153;Evil Steel Pears of Invigoration;Evil Pears that are seemingly made of Steel. They radiate Evil energy and when used/consumed will have the effect of Invigoration. Very rare!;2;S
C154;Iron Energy Drinks;Energy Drinks that seem to be made of Iron. Other than that they appear to have no special effects.;125;B
C155;Pears;Just normal Pears. They have no special effects.;585;C
C156;Emerald Beads;Beads that seem to be made of Emerald. Other than that they appear to have no special effects.;163;B
C157;Copper Apples;Apples that seem to be made of Copper. Other than that they appear to have no special effects.;97;B
C158;Steel Potions;Potions that seem to be made of Steel. Other than that they appear to have no special effects.;126;B
C159;Jade Pills;Pills that seem to be made of Jade. Other than that they appear to have no special effects.;95;B
C160;Sapphire Milk Cartons;Milk Cartons that seem to be made of Sapphire. Other than that they appear to have no special effects.;134;B
C161;Silver Milk Cartons;Milk Cartons that seem to be made of Silver. Other than that they appear to have no special effects.;186;B
C162;Platinum Beads;Beads that seem to be made of Platinum. Other than that they appear to have no special effects.;56;B
C163;Gold Carps;Carps that seem to be made of Gold. Other than that they appear to have no special effects.;27;B
C164;Gold Pears;Pears that seem to be made of Gold. Other than that they appear to have no special effects.;178;B
C165;Jade Smoothies;Smoothies that seem to be made of Jade. Other than that they appear to have no special effects.;86;B
C166;Evil Steel Pears;Evil Pears that are seemingly made of Steel. They radiate Evil energy and their effects are unknown though one might surmise them from its name.;20;A
C167;Corrupted Silver Arrows;Corrupted Arrows that are seemingly made of Silver. They radiate Corrupted energy and their effects are unknown though one might surmise them from its name.;11;A
C168;Copper Liquids;Liquids that seem to be made of Copper. Other than that they appear to have no special effects.;99;B
C169;Explosive Jade Arrows;Explosive Arrows that are seemingly made of Jade. They radiate Explosive energy and their effects are unknown though one might surmise them from its name.;15;A
C170;Evil Ruby Liquids;Evil Liquids that are seemingly made of Ruby. They radiate Evil energy and their effects are unknown though one might surmise them from its name.;7;A
C171;Spiritual Ruby Smoothies;Spiritual Smoothies that are seemingly made of Ruby. They radiate Spiritual energy and their effects are unknown though one might surmise them from its name.;18;A
C172;Dwarven Silver Milk Cartons;Dwarven Milk Cartons that are seemingly made of Silver. They radiate Dwarven energy and their effects are unknown though one might surmise them from its name.;28;A
C173;Corrupted Sapphire Liquids of Incitement;Corrupted Liquids that are seemingly made of Sapphire. They radiate Corrupted energy and when used/consumed will have the effect of Incitement. Very rare!;9;S
C174;Explosive Iron Bread Cloves;Explosive Bread Cloves that are seemingly made of Iron. They radiate Explosive energy and their effects are unknown though one might surmise them from its name.;16;A
C175;Topaz Apples;Apples that seem to be made of Topaz. Other than that they appear to have no special effects.;65;B
C176;Poisonous Steel Potions;Poisonous Potions that are seemingly made of Steel. They radiate Poisonous energy and their effects are unknown though one might surmise them from its name.;26;A
C177;Corrupted Silver Smoothies of Fulfilling;Corrupted Smoothies that are seemingly made of Silver. They radiate Corrupted energy and when used/consumed will have the effect of Fulfilling. Very rare!;1;S
C178;Divine Platinum Juices of Rejuvenation;Divine Juices that are seemingly made of Platinum. They radiate Divine energy and when used/consumed will have the effect of Rejuvenation. Very rare!;6;S
C179;Elven Silver Peaches;Elven Peaches that are seemingly made of Silver. They radiate Elven energy and their effects are unknown though one might surmise them from its name.;7;A
C180;Spiritual Ruby Juices of Warding;Spiritual Juices that are seemingly made of Ruby. They radiate Spiritual energy and when used/consumed will have the effect of Warding. Very rare!;3;S
C181;Spiritual Sapphire Juices;Spiritual Juices that are seemingly made of Sapphire. They radiate Spiritual energy and their effects are unknown though one might surmise them from its name.;8;A
C182;Copper Juices;Juices that seem to be made of Copper. Other than that they appear to have no special effects.;122;B
C183;Magical Platinum Peaches;Magical Peaches that are seemingly made of Platinum. They radiate Magical energy and their effects are unknown though one might surmise them from its name.;13;A
C184;Ruby Carps;Carps that seem to be made of Ruby. Other than that they appear to have no special effects.;88;B
C185;Divine Iron Candies;Divine Candies that are seemingly made of Iron. They radiate Divine energy and their effects are unknown though one might surmise them from its name.;22;A
C186;Poisonous Gold Milk Cartons;Poisonous Milk Cartons that are seemingly made of Gold. They radiate Poisonous energy and their effects are unknown though one might surmise them from its name.;20;A
C187;Spiritual Sapphire Potions;Spiritual Potions that are seemingly made of Sapphire. They radiate Spiritual energy and their effects are unknown though one might surmise them from its name.;25;A
C188;Poisonous Emerald Carps of Flying;Poisonous Carps that are seemingly made of Emerald. They radiate Poisonous energy and when used/consumed will have the effect of Flying. Very rare!;4;S
C189;Ruby Pearls;Pearls that seem to be made of Ruby. Other than that they appear to have no special effects.;12;B
C190;Explosive Steel Milk Cartons of Restoration;Explosive Milk Cartons that are seemingly made of Steel. They radiate Explosive energy and when used/consumed will have the effect of Restoration. Very rare!;8;S
C191;Ruby Apples;Apples that seem to be made of Ruby. Other than that they appear to have no special effects.;102;B
C192;Magical Steel Cupcakes of Rejuvenation;Magical Cupcakes that are seemingly made of Steel. They radiate Magical energy and when used/consumed will have the effect of Rejuvenation. Very rare!;2;S
C193;Elven Topaz Cupcakes of Death;Elven Cupcakes that are seemingly made of Topaz. They radiate Elven energy and when used/consumed will have the effect of Death. Very rare!;3;S
C194;Explosive Emerald Pills;Explosive Pills that are seemingly made of Emerald. They radiate Explosive energy and their effects are unknown though one might surmise them from its name.;20;A
C195;Chaotic Copper Candies of Tempering;Chaotic Candies that are seemingly made of Copper. They radiate Chaotic energy and when used/consumed will have the effect of Tempering. Very rare!;4;S
C196;Corrupted Silver Essences;Corrupted Essences that are seemingly made of Silver. They radiate Corrupted energy and their effects are unknown though one might surmise them from its name.;18;A
C197;Divine Ruby Juices;Divine Juices that are seemingly made of Ruby. They radiate Divine energy and their effects are unknown though one might surmise them from its name.;11;A
C198;Platinum Panties;Panties that seem to be made of Platinum. Other than that they appear to have no special effects.;177;B
C199;Emerald Liquids;Liquids that seem to be made of Emerald. Other than that they appear to have no special effects.;66;B
C200;Platinum Carps;Carps that seem to be made of Platinum. Other than that they appear to have no special effects.;57;B
C201;Platinum Bread Cloves;Bread Cloves that seem to be made of Platinum. Other than that they appear to have no special effects.;122;B
C202;Gold Pearls;Pearls that seem to be made of Gold. Other than that they appear to have no special effects.;31;B
C203;Jade Energy Drinks;Energy Drinks that seem to be made of Jade. Other than that they appear to have no special effects.;172;B
C204;Copper Pills;Pills that seem to be made of Copper. Other than that they appear to have no special effects.;180;B
C205;Copper Candies;Candies that seem to be made of Copper. Other than that they appear to have no special effects.;88;B
C206;Steel Juices;Juices that seem to be made of Steel. Other than that they appear to have no special effects.;38;B
C207;Steel Milk Cartons;Milk Cartons that seem to be made of Steel. Other than that they appear to have no special effects.;136;B
C208;Dwarven Sapphire Pears;Dwarven Pears that are seemingly made of Sapphire. They radiate Dwarven energy and their effects are unknown though one might surmise them from its name.;25;A
C209;Platinum Potions;Potions that seem to be made of Platinum. Other than that they appear to have no special effects.;30;B
C210;Explosive Topaz Energy Drinks;Explosive Energy Drinks that are seemingly made of Topaz. They radiate Explosive energy and their effects are unknown though one might surmise them from its name.;14;A
C211;Blessed Sapphire Apples of Focus;Blessed Apples that are seemingly made of Sapphire. They radiate Blessed energy and when used/consumed will have the effect of Focus. Very rare!;2;S
C212;Iron Candies;Candies that seem to be made of Iron. Other than that they appear to have no special effects.;184;B
C213;Sapphire Panties;Panties that seem to be made of Sapphire. Other than that they appear to have no special effects.;138;B
C214;Evil Sapphire Liquids;Evil Liquids that are seemingly made of Sapphire. They radiate Evil energy and their effects are unknown though one might surmise them from its name.;11;A
C215;Iron Apples;Apples that seem to be made of Iron. Other than that they appear to have no special effects.;177;B
C216;Grand Gold Cupcakes;Grand Cupcakes that are seemingly made of Gold. They radiate Grand energy and their effects are unknown though one might surmise them from its name.;28;A
C217;Blessed Sapphire Juices;Blessed Juices that are seemingly made of Sapphire. They radiate Blessed energy and their effects are unknown though one might surmise them from its name.;28;A
C218;Platinum Essences;Essences that seem to be made of Platinum. Other than that they appear to have no special effects.;139;B
C219;Steel Energy Drinks;Energy Drinks that seem to be made of Steel. Other than that they appear to have no special effects.;121;B
C220;Divine Emerald Salmon;Divine Salmon that are seemingly made of Emerald. They radiate Divine energy and their effects are unknown though one might surmise them from its name.;18;A
C221;Poisonous Jade Panties of Telekinesis;Poisonous Panties that are seemingly made of Jade. They radiate Poisonous energy and when used/consumed will have the effect of Telekinesis. Very rare!;5;S
C222;Gold Apples;Apples that seem to be made of Gold. Other than that they appear to have no special effects.;163;B
C223;Poisonous Topaz Liquids;Poisonous Liquids that are seemingly made of Topaz. They radiate Poisonous energy and their effects are unknown though one might surmise them from its name.;10;A
C224;Abyssal Jade Smoothies of Healing;Abyssal Smoothies that are seemingly made of Jade. They radiate Abyssal energy and when used/consumed will have the effect of Healing. Very rare!;8;S
C225;Evil Silver Panties;Evil Panties that are seemingly made of Silver. They radiate Evil energy and their effects are unknown though one might surmise them from its name.;13;A
C226;Chaotic Emerald Salmon of Infatuation;Chaotic Salmon that are seemingly made of Emerald. They radiate Chaotic energy and when used/consumed will have the effect of Infatuation. Very rare!;7;S
C227;Steel Pills;Pills that seem to be made of Steel. Other than that they appear to have no special effects.;199;B
C228;Grand Steel Milk Cartons;Grand Milk Cartons that are seemingly made of Steel. They radiate Grand energy and their effects are unknown though one might surmise them from its name.;13;A
C229;Evil Steel Pills;Evil Pills that are seemingly made of Steel. They radiate Evil energy and their effects are unknown though one might surmise them from its name.;14;A
C230;Gold Peaches;Peaches that seem to be made of Gold. Other than that they appear to have no special effects.;90;B
C231;Emerald Milk Cartons;Milk Cartons that seem to be made of Emerald. Other than that they appear to have no special effects.;74;B
C232;Copper Peaches;Peaches that seem to be made of Copper. Other than that they appear to have no special effects.;83;B
C233;Evil Steel Liquids;Evil Liquids that are seemingly made of Steel. They radiate Evil energy and their effects are unknown though one might surmise them from its name.;21;A
C234;Copper Pearls;Pearls that seem to be made of Copper. Other than that they appear to have no special effects.;167;B
C235;Platinum Pears;Pears that seem to be made of Platinum. Other than that they appear to have no special effects.;121;B
C236;Emerald Mushrooms;Mushrooms that seem to be made of Emerald. Other than that they appear to have no special effects.;42;B
C237;Divine Sapphire Potions of Healing;Divine Potions that are seemingly made of Sapphire. They radiate Divine energy and when used/consumed will have the effect of Healing. Very rare!;1;S
C238;Iron Milk Cartons;Milk Cartons that seem to be made of Iron. Other than that they appear to have no special effects.;147;B
C239;Dwarven Silver Bread Cloves;Dwarven Bread Cloves that are seemingly made of Silver. They radiate Dwarven energy and their effects are unknown though one might surmise them from its name.;8;A
C240;Smoothies;Just normal Smoothies. They have no special effects.;895;C
C241;Iron Sigils;Sigils that seem to be made of Iron. Other than that they appear to have no special effects.;62;B
C242;Gold Bread Cloves;Bread Cloves that seem to be made of Gold. Other than that they appear to have no special effects.;136;B
C243;Platinum Peaches;Peaches that seem to be made of Platinum. Other than that they appear to have no special effects.;188;B
C244;Emerald Candies;Candies that seem to be made of Emerald. Other than that they appear to have no special effects.;110;B
C245;Magical Iron Cupcakes;Magical Cupcakes that are seemingly made of Iron. They radiate Magical energy and their effects are unknown though one might surmise them from its name.;11;A
C246;Steel Carps;Carps that seem to be made of Steel. Other than that they appear to have no special effects.;191;B
C247;Iron Essences;Essences that seem to be made of Iron. Other than that they appear to have no special effects.;58;B
