id,id_pengambil,id_consumable,tanggal_peminjaman,jumlah
TC0990420155,Ophelia,C099,08/04/2020,155
TC1070300608,George,C107,06/03/2000,608
TC4300517506,Jean,C430,17/05/2017,506
TC8391210951,Sven,C839,07/12/2010,951
TC8370708131,Beatrice,C837,12/07/2008,131
TC2520211114,Maureen,C252,06/02/2011,114
TC9280100685,Nobita,C928,02/01/2000,685
TC1760515332,Hamilton,C176,13/05/2015,332
TC5971008774,Faris,C597,25/10/2008,774
TC2771017551,Xander,C277,06/10/2017,551
TC6110316583,Priscilla,C611,20/03/2016,583
TC6490104007,Tabatha,C649,03/01/2004,7
TC4080807090,Victoria,C408,18/08/2007,90
TC2640819361,Victoria,C264,06/08/2019,361
TC3450620669,Sven,C345,11/06/2020,669
TC1141004053,Courtney,C114,28/10/2004,53
TC6411200005,Laetitia,C641,01/12/2000,5
TC5070501969,Sven,C507,25/05/2001,969
TC7791015621,Beatrice,C779,15/10/2015,621
TC3990313514,Hamilton,C399,26/03/2013,514
TC2460500994,Quake,C246,02/05/2000,994
TC1031018512,Dave,C103,13/10/2018,512
TC5020800095,Faris,C502,11/08/2000,95
TC3930310535,William,C393,13/03/2010,535
TC1770314933,Dave,C177,09/03/2014,933
TC8800504572,Ignis,C880,08/05/2004,572
TC5630804929,Maureen,C563,23/08/2004,929
TC5740514565,Sven,C574,21/05/2014,565
TC4631208008,Ethan,C463,10/12/2008,8
TC2690719461,Victoria,C269,20/07/2019,461
TC0970704119,Quake,C097,11/07/2004,119
TC1500302803,Victoria,C150,06/03/2002,803
TC3830615931,Victoria,C383,15/06/2015,931
TC4720412028,Courtney,C472,13/04/2012,28
TC4040917970,Randal,C404,12/09/2017,970
TC7770311013,Victoria,C777,10/03/2011,13
TC2640217042,Laetitia,C264,16/02/2017,42
TC0570206764,Ethan,C057,08/02/2006,764
TC7730606900,Ursula,C773,09/06/2006,900
TC5990111793,Xander,C599,12/01/2011,793
TC6210603436,Maureen,C621,10/06/2003,436
TC7520710003,Maureen,C752,25/07/2010,3
TC1521207755,Courtney,C152,03/12/2007,755
TC6441100134,Yaeger,C644,26/11/2000,134
TC9060700578,Ophelia,C906,05/07/2000,578
TC3520810803,George,C352,14/08/2010,803
TC7540308151,Beatrice,C754,24/03/2008,151
TC3991001655,Nobita,C399,28/10/2001,655
TC0901114273,Maureen,C090,05/11/2014,273
TC3821209104,Beatrice,C382,17/12/2009,104
TC0270913712,Sven,C027,25/09/2013,712
TC5320206440,Nobita,C532,23/02/2006,440
TC4190216506,Ursula,C419,01/02/2016,506
TC8190115552,George,C819,10/01/2015,552
TC0450600405,Laetitia,C045,03/06/2000,405
TC3010417780,Dave,C301,18/04/2017,780
TC9840505650,Randal,C984,13/05/2005,650
TC8380310889,George,C838,03/03/2010,889
TC4940501995,Randal,C494,13/05/2001,995
TC0190614516,William,C019,16/06/2014,516
TC9131001273,Katnis,C913,05/10/2001,273
TC1040705658,Courtney,C104,08/07/2005,658
TC6870519068,Faris,C687,06/05/2019,68
TC8711000122,George,C871,24/10/2000,122
TC1281005563,Victoria,C128,06/10/2005,563
TC5020715355,Katnis,C502,15/07/2015,355
TC4260201389,Zaccheus,C426,05/02/2001,389
TC3790502764,Maureen,C379,27/05/2002,764
TC4620105621,Quake,C462,03/01/2005,621
TC7690513028,Sven,C769,20/05/2013,28
TC3470500049,Ignis,C347,26/05/2000,49
TC5341201821,Jean,C534,18/12/2001,821
TC7050805576,Laetitia,C705,21/08/2005,576
TC9201109940,Laetitia,C920,14/11/2009,940
TC5810100152,William,C581,26/01/2000,152
TC4131003633,Victoria,C413,10/10/2003,633
TC3540406810,Victoria,C354,09/04/2006,810
TC7980406141,William,C798,26/04/2006,141
TC5401017815,Ursula,C540,23/10/2017,815
TC6890320780,Ignis,C689,20/03/2020,780
TC7550301548,Priscilla,C755,04/03/2001,548
TC6620209776,Yaeger,C662,22/02/2009,776
TC0300519457,Sven,C030,20/05/2019,457
TC2341212362,Victoria,C234,12/12/2012,362
TC2891016494,Katnis,C289,06/10/2016,494
TC8870406199,Faris,C887,06/04/2006,199
TC9280113779,Dave,C928,25/01/2013,779
TC0781019264,Tabatha,C078,26/10/2019,264
TC1371218436,Ignis,C137,03/12/2018,436
TC5870910899,Beatrice,C587,16/09/2010,899
TC0680307812,Laetitia,C068,13/03/2007,812
TC6220202669,Ignis,C622,28/02/2002,669
TC2440120130,Courtney,C244,19/01/2020,130
TC2011018097,Beatrice,C201,07/10/2018,97
TC3460311337,William,C346,13/03/2011,337
TC7610709800,Dave,C761,14/07/2009,800
TC2120800507,Ignis,C212,26/08/2000,507
TC2570812465,Laetitia,C257,15/08/2012,465
TC9640801101,Ursula,C964,15/08/2001,101
TC4240219832,Ethan,C424,23/02/2019,832
TC1940615852,Beatrice,C194,14/06/2015,852
TC6210220109,Nobita,C621,12/02/2020,109
TC1940319082,Laetitia,C194,19/03/2019,82
TC1590906827,Randal,C159,08/09/2006,827
TC5590313792,Ophelia,C559,21/03/2013,792
TC1850400753,George,C185,16/04/2000,753
TC8050208647,Courtney,C805,24/02/2008,647
TC5260909676,William,C526,20/09/2009,676
TC8050509327,Zaccheus,C805,25/05/2009,327
TC1680400046,Ethan,C168,18/04/2000,46
TC3330304135,Jean,C333,07/03/2004,135
TC1000809427,Jean,C100,12/08/2009,427
TC4010620998,Ursula,C401,08/06/2020,998
TC5550418898,Sven,C555,18/04/2018,898
TC3660812869,Hamilton,C366,06/08/2012,869
TC6660807493,Laetitia,C666,24/08/2007,493
TC8620919397,Hamilton,C862,23/09/2019,397
TC6171006970,Xander,C617,13/10/2006,970
TC4880210745,Randal,C488,15/02/2010,745
TC6410816817,Quake,C641,10/08/2016,817
TC9370512324,William,C937,09/05/2012,324
TC0010614033,Courtney,C001,01/06/2014,33
TC0960102843,Tabatha,C096,05/01/2002,843
TC3861117486,Ava,C386,05/11/2017,486
TC3691217999,Jean,C369,23/12/2017,999
TC6991217878,Randal,C699,18/12/2017,878
TC7871118403,Xander,C787,07/11/2018,403
TC6050109743,Victoria,C605,16/01/2009,743
TC1070402201,Jean,C107,21/04/2002,201
TC8070907945,Dave,C807,08/09/2007,945
TC9101205416,Priscilla,C910,07/12/2005,416
TC6170612066,Laetitia,C617,10/06/2012,66
TC7250601568,Laetitia,C725,14/06/2001,568
TC1290709187,Tabatha,C129,28/07/2009,187
TC3470902221,Quake,C347,14/09/2002,221
TC7790219268,William,C779,20/02/2019,268
TC1050810229,Beatrice,C105,11/08/2010,229
TC8450103734,Sven,C845,12/01/2003,734
TC7140915668,Yaeger,C714,02/09/2015,668
TC1480806052,Xander,C148,18/08/2006,52
TC2550907907,Yaeger,C255,17/09/2007,907
TC7021117869,Beatrice,C702,08/11/2017,869
TC0620407542,Faris,C062,16/04/2007,542
TC8340702978,Randal,C834,11/07/2002,978
TC4460511193,Ethan,C446,28/05/2011,193
TC4170810906,Priscilla,C417,15/08/2010,906
TC7300301021,Quake,C730,17/03/2001,21
TC5970610357,Sven,C597,10/06/2010,357
TC9220803559,Tabatha,C922,17/08/2003,559
TC2091118236,Faris,C209,24/11/2018,236
TC7431009381,George,C743,22/10/2009,381
TC5470517719,Faris,C547,23/05/2017,719
TC2741009925,George,C274,21/10/2009,925
TC6740401914,Ethan,C674,08/04/2001,914
TC7620117019,William,C762,24/01/2017,19
TC1040904626,Xander,C104,02/09/2004,626
TC0980716151,Dave,C098,05/07/2016,151
TC6480515805,Katnis,C648,03/05/2015,805
TC6170201208,Jean,C617,17/02/2001,208
TC3440806537,Hamilton,C344,05/08/2006,537
TC3670600632,Ethan,C367,01/06/2000,632
TC7431010416,Beatrice,C743,26/10/2010,416
TC0620913721,Randal,C062,07/09/2013,721
TC3311107524,Courtney,C331,27/11/2007,524
TC4680704048,Ethan,C468,13/07/2004,48
TC7201111289,Sven,C720,13/11/2011,289
TC4760904613,Tabatha,C476,22/09/2004,613
TC7051200199,Ethan,C705,22/12/2000,199
TC2660109780,Zaccheus,C266,22/01/2009,780
TC7971205366,Ophelia,C797,17/12/2005,366
TC8460406843,Xander,C846,11/04/2006,843
TC3550718840,Victoria,C355,17/07/2018,840
TC9720511253,Ophelia,C972,16/05/2011,253
TC1090104876,Hamilton,C109,08/01/2004,876
TC5020909025,Yaeger,C502,03/09/2009,25
TC1551219062,Nobita,C155,19/12/2019,62
TC8530304815,Ignis,C853,11/03/2004,815
TC5080509650,Laetitia,C508,16/05/2009,650
TC1480218130,Beatrice,C148,02/02/2018,130
TC2120506092,William,C212,26/05/2006,92
TC9920917195,Ava,C992,19/09/2017,195
TC0760120609,Ursula,C076,14/01/2020,609
TC5061211329,Ava,C506,22/12/2011,329
TC3530517994,Ethan,C353,13/05/2017,994
TC7660205198,Courtney,C766,11/02/2005,198
TC1971118785,Xander,C197,20/11/2018,785
TC3680204858,Ethan,C368,26/02/2004,858
TC7920606333,Ursula,C792,23/06/2006,333
TC3751116940,William,C375,14/11/2016,940
TC1850613673,Nobita,C185,04/06/2013,673
TC2501201020,Laetitia,C250,06/12/2001,20
TC2160901094,George,C216,23/09/2001,94
TC4981109714,Ava,C498,22/11/2009,714
TC3571000623,Ignis,C357,26/10/2000,623
TC1990316462,Ava,C199,06/03/2016,462
TC6960417184,Ursula,C696,05/04/2017,184
TC4380208932,Priscilla,C438,11/02/2008,932
TC9310605575,Courtney,C931,22/06/2005,575
TC9550917208,Priscilla,C955,21/09/2017,208
TC6160700605,Maureen,C616,24/07/2000,605
TC2210912465,Zaccheus,C221,15/09/2012,465
TC8380704179,Quake,C838,13/07/2004,179
TC4310519095,George,C431,05/05/2019,95
TC5050718705,Ophelia,C505,08/07/2018,705
TC6590604700,Victoria,C659,18/06/2004,700
TC2791020677,Tabatha,C279,28/10/2020,677
TC9481204137,Zaccheus,C948,28/12/2004,137
TC4600900205,Randal,C460,25/09/2000,205
TC8730310990,Faris,C873,11/03/2010,990
TC5320303266,Ophelia,C532,18/03/2003,266
TC4890117106,Katnis,C489,17/01/2017,106
TC8900205339,Ursula,C890,26/02/2005,339
TC1901102438,Nobita,C190,03/11/2002,438
TC2750200305,Yaeger,C275,16/02/2000,305
TC1160409061,Priscilla,C116,16/04/2009,61
TC5120611488,Quake,C512,14/06/2011,488
TC3571004566,Tabatha,C357,10/10/2004,566
TC5000309424,Xander,C500,27/03/2009,424
TC3731112863,Sven,C373,17/11/2012,863
TC5041206192,Sven,C504,11/12/2006,192
TC4740711668,Laetitia,C474,15/07/2011,668
TC1360513562,Ignis,C136,12/05/2013,562
TC6031010704,Ignis,C603,20/10/2010,704
TC9680806792,Ursula,C968,22/08/2006,792
TC6820509238,William,C682,19/05/2009,238
TC2670116853,Beatrice,C267,11/01/2016,853
TC1840602849,Priscilla,C184,12/06/2002,849
TC9990910350,Faris,C999,17/09/2010,350
TC5421200943,Nobita,C542,25/12/2000,943
TC9710710341,Dave,C971,10/07/2010,341
TC8830603924,Faris,C883,23/06/2003,924
TC7190908588,Tabatha,C719,28/09/2008,588
TC3480602732,Dave,C348,21/06/2002,732
TC6910318566,Laetitia,C691,20/03/2018,566
TC5590109408,Beatrice,C559,09/01/2009,408
TC9970219361,Faris,C997,20/02/2019,361
TC3250907001,Maureen,C325,12/09/2007,1
TC2321205757,Faris,C232,20/12/2005,757
TC2700619130,Ethan,C270,07/06/2019,130
TC3200910501,Laetitia,C320,21/09/2010,501
TC5330904912,Quake,C533,17/09/2004,912
TC4210512896,Sven,C421,02/05/2012,896
TC0610114706,Zaccheus,C061,03/01/2014,706
TC9650203382,Tabatha,C965,28/02/2003,382
TC7411011709,Xander,C741,07/10/2011,709
TC3570506451,Jean,C357,07/05/2006,451
TC0741202148,Victoria,C074,03/12/2002,148
TC5021209315,Tabatha,C502,24/12/2009,315
TC7301205087,Priscilla,C730,24/12/2005,87
TC5350913414,Randal,C535,24/09/2013,414
TC2660107142,George,C266,18/01/2007,142
TC1090520569,Ava,C109,17/05/2020,569
TC8780809437,Faris,C878,16/08/2009,437
TC8150415863,Nobita,C815,16/04/2015,863
TC0921215151,Katnis,C092,12/12/2015,151
TC1500901740,Hamilton,C150,07/09/2001,740
TC1501218713,Ethan,C150,09/12/2018,713
TC3180117988,Ursula,C318,18/01/2017,988
TC6630105701,Ethan,C663,02/01/2005,701
TC5990512550,Jean,C599,05/05/2012,550
TC4780609540,Maureen,C478,15/06/2009,540
TC6530606551,Courtney,C653,01/06/2006,551
TC9480204398,Tabatha,C948,01/02/2004,398
TC3460419931,Ava,C346,15/04/2019,931
TC4321210543,Beatrice,C432,17/12/2010,543
TC2010908883,George,C201,27/09/2008,883
TC9830604426,Maureen,C983,01/06/2004,426
TC8170607871,Sven,C817,25/06/2007,871
TC3540617302,Tabatha,C354,08/06/2017,302
TC7891105858,Randal,C789,25/11/2005,858
TC5390509078,Priscilla,C539,07/05/2009,78
TC3070208098,Ursula,C307,16/02/2008,98
TC3570318060,Quake,C357,11/03/2018,60
TC1560318876,Laetitia,C156,23/03/2018,876
TC0220315496,Maureen,C022,28/03/2015,496
TC3650313463,Hamilton,C365,01/03/2013,463
TC6370309019,Faris,C637,14/03/2009,19
TC0260316076,Courtney,C026,20/03/2016,76
TC5660909097,Laetitia,C566,06/09/2009,97
TC5570420278,Zaccheus,C557,02/04/2020,278
TC6650511669,Randal,C665,12/05/2011,669
TC5740309409,Ophelia,C574,15/03/2009,409
TC1790614030,Tabatha,C179,05/06/2014,30
TC8910710197,Ophelia,C891,23/07/2010,197
TC2300604973,Jean,C230,28/06/2004,973
TC1680900457,Ursula,C168,25/09/2000,457
TC7770515886,Xander,C777,02/05/2015,886
TC5640606107,Ophelia,C564,06/06/2006,107
TC4081210718,Ursula,C408,14/12/2010,718
TC5440606686,Faris,C544,26/06/2006,686
TC9680807981,Priscilla,C968,24/08/2007,981
TC4661004411,Ava,C466,21/10/2004,411
TC8140718346,Victoria,C814,20/07/2018,346
TC1650902773,Ethan,C165,16/09/2002,773
TC8540314567,Priscilla,C854,13/03/2014,567
TC7480218196,George,C748,02/02/2018,196
TC1110518569,Victoria,C111,25/05/2018,569
TC5390309186,Ursula,C539,06/03/2009,186
TC5430808923,Ava,C543,17/08/2008,923
TC8580916564,Nobita,C858,27/09/2016,564
TC5660203571,Nobita,C566,03/02/2003,571
TC3611016211,Beatrice,C361,18/10/2016,211
TC2591103713,Tabatha,C259,26/11/2003,713
TC9181010216,Faris,C918,19/10/2010,216
TC2950605752,Ethan,C295,25/06/2005,752
TC6021204257,Yaeger,C602,28/12/2004,257
TC5781203390,Zaccheus,C578,15/12/2003,390
TC6271006190,William,C627,18/10/2006,190
TC5730901522,Dave,C573,27/09/2001,522
TC7010907052,Ignis,C701,18/09/2007,52
TC0241101886,Sven,C024,02/11/2001,886
TC2671219404,William,C267,27/12/2019,404
TC2901011300,Nobita,C290,18/10/2011,300
TC3430519710,Ignis,C343,22/05/2019,710
TC2181106688,Ignis,C218,05/11/2006,688
TC6120916136,William,C612,05/09/2016,136
TC1331114913,George,C133,13/11/2014,913
TC6791005880,Zaccheus,C679,04/10/2005,880
TC1630309081,Jean,C163,03/03/2009,81
TC1170219074,George,C117,20/02/2019,74
TC6060507934,Xander,C606,25/05/2007,934
TC3921212452,Quake,C392,26/12/2012,452
TC1390416304,Beatrice,C139,16/04/2016,304
TC1880420910,Courtney,C188,17/04/2020,910
TC7070501725,Ophelia,C707,19/05/2001,725
TC1030409225,Quake,C103,20/04/2009,225
TC7241217986,Katnis,C724,01/12/2017,986
TC8760417322,Hamilton,C876,20/04/2017,322
TC6700220236,Laetitia,C670,09/02/2020,236
TC5370203888,Maureen,C537,27/02/2003,888
TC3711013881,Beatrice,C371,07/10/2013,881
TC0160812365,Quake,C016,23/08/2012,365
TC4610810417,Xander,C461,18/08/2010,417
TC4550806502,Ophelia,C455,03/08/2006,502
TC3661214204,Tabatha,C366,23/12/2014,204
TC7920804598,Priscilla,C792,17/08/2004,598
TC0260307848,Laetitia,C026,16/03/2007,848
TC7570712185,Laetitia,C757,19/07/2012,185
TC4350315574,Dave,C435,15/03/2015,574
TC8610710635,Hamilton,C861,11/07/2010,635
TC1450414083,Zaccheus,C145,13/04/2014,83
TC2331015256,Katnis,C233,21/10/2015,256
TC5711006547,George,C571,26/10/2006,547
TC3180419232,Ignis,C318,04/04/2019,232
TC8150715920,Dave,C815,09/07/2015,920
TC6310810744,Laetitia,C631,27/08/2010,744
TC8430906079,Ava,C843,19/09/2006,79
TC5570814551,William,C557,05/08/2014,551
TC8760606208,Nobita,C876,07/06/2006,208
TC5931015295,Priscilla,C593,04/10/2015,295
TC6911103396,Courtney,C691,10/11/2003,396
TC1311020023,Zaccheus,C131,07/10/2020,23
TC1911218485,Randal,C191,11/12/2018,485
TC9591112634,Hamilton,C959,14/11/2012,634
TC5400301719,Courtney,C540,06/03/2001,719
TC5840602355,George,C584,16/06/2002,355
TC7140906636,Sven,C714,03/09/2006,636
TC7640601794,Courtney,C764,09/06/2001,794
TC7491219980,Maureen,C749,01/12/2019,980
TC1800902265,Ophelia,C180,05/09/2002,265
TC6780415905,Maureen,C678,13/04/2015,905
TC3180714312,Quake,C318,27/07/2014,312
TC8851019003,William,C885,16/10/2019,3
TC6351014904,Tabatha,C635,14/10/2014,904
TC3801209286,Hamilton,C380,11/12/2009,286
TC8571214480,Priscilla,C857,17/12/2014,480
TC7000106997,William,C700,13/01/2006,997
TC1970200452,Maureen,C197,02/02/2000,452
TC8730405391,Randal,C873,01/04/2005,391
TC2630612577,Jean,C263,01/06/2012,577
TC5261120163,Yaeger,C526,04/11/2020,163
TC9110611823,Priscilla,C911,06/06/2011,823
TC3411007250,Laetitia,C341,04/10/2007,250
TC5140509156,Quake,C514,01/05/2009,156
TC6950902359,Quake,C695,17/09/2002,359
TC6930615659,Dave,C693,24/06/2015,659
TC3510711030,William,C351,25/07/2011,30
TC8280817054,Yaeger,C828,19/08/2017,54
TC7601000769,Randal,C760,11/10/2000,769
TC3951012607,Ophelia,C395,12/10/2012,607
TC8340800638,Xander,C834,08/08/2000,638
TC2511105768,Xander,C251,09/11/2005,768
TC3950719696,Jean,C395,24/07/2019,696
TC3560401889,Nobita,C356,27/04/2001,889
TC5381216019,Dave,C538,15/12/2016,19
TC4190905628,William,C419,04/09/2005,628
TC5391215715,Tabatha,C539,10/12/2015,715
TC5150607071,Quake,C515,15/06/2007,71
TC8761211901,Faris,C876,17/12/2011,901
TC7661215698,Jean,C766,04/12/2015,698
TC2431104046,Jean,C243,08/11/2004,46
TC6721009050,Zaccheus,C672,12/10/2009,50
TC6540310736,Katnis,C654,24/03/2010,736
TC1950516911,Maureen,C195,20/05/2016,911
TC1560507515,Priscilla,C156,04/05/2007,515
TC2770902814,William,C277,18/09/2002,814
TC7370808146,Hamilton,C737,19/08/2008,146
TC7840106495,Katnis,C784,12/01/2006,495
TC2080115513,Ursula,C208,07/01/2015,513
TC5500801216,Hamilton,C550,17/08/2001,216
TC3690801197,Ursula,C369,02/08/2001,197
TC7290216953,Nobita,C729,06/02/2016,953
TC7030811466,Ursula,C703,03/08/2011,466
TC2091000019,Randal,C209,23/10/2000,19
TC1940205347,Beatrice,C194,06/02/2005,347
TC4011211543,Ophelia,C401,05/12/2011,543
TC6340519540,Beatrice,C634,03/05/2019,540
TC3800319650,Faris,C380,05/03/2019,650
TC2200108104,Priscilla,C220,14/01/2008,104
TC7741017607,Katnis,C774,20/10/2017,607
TC3590919224,Faris,C359,05/09/2019,224
TC8131120784,Victoria,C813,04/11/2020,784
TC3021213303,Sven,C302,04/12/2013,303
TC0531108369,Beatrice,C053,26/11/2008,369
TC0641217721,Quake,C064,12/12/2017,721
TC3230216483,Katnis,C323,20/02/2016,483
TC2370201445,Laetitia,C237,20/02/2001,445
TC5100207472,William,C510,02/02/2007,472
TC1270520079,Ignis,C127,25/05/2020,79
TC3091203684,Ophelia,C309,07/12/2003,684
TC2080812285,Beatrice,C208,02/08/2012,285
TC0430305181,Victoria,C043,22/03/2005,181
TC9470617698,Ignis,C947,06/06/2017,698
TC8980516930,Randal,C898,19/05/2016,930
TC1191015474,Yaeger,C119,26/10/2015,474
TC5660915330,Xander,C566,21/09/2015,330
TC9010412638,Ignis,C901,18/04/2012,638
TC8640203680,Ignis,C864,21/02/2003,680
TC3050118964,Dave,C305,19/01/2018,964
TC2140714534,Ursula,C214,08/07/2014,534
TC1851213326,Quake,C185,11/12/2013,326
TC1840803279,Quake,C184,21/08/2003,279
TC7100509910,George,C710,10/05/2009,910
TC4980414317,Faris,C498,08/04/2014,317
TC6530707539,Faris,C653,11/07/2007,539
TC2280409548,Yaeger,C228,02/04/2009,548
TC0971017751,Katnis,C097,07/10/2017,751
TC3550213156,Jean,C355,13/02/2013,156
TC7930711688,Ava,C793,18/07/2011,688
TC7900606008,William,C790,15/06/2006,8
TC6381119383,Hamilton,C638,18/11/2019,383
TC4540705724,Maureen,C454,23/07/2005,724
TC9970814059,Ophelia,C997,26/08/2014,59
TC8451000791,Courtney,C845,05/10/2000,791
TC6551005887,Ethan,C655,28/10/2005,887
TC5070206530,Beatrice,C507,16/02/2006,530
TC0800915985,Xander,C080,12/09/2015,985
TC0260901055,Randal,C026,24/09/2001,55
TC2860714100,Beatrice,C286,05/07/2014,100
TC3721202166,Katnis,C372,12/12/2002,166
TC1040303088,Randal,C104,07/03/2003,88
TC5890703269,Dave,C589,13/07/2003,269
TC2080204611,George,C208,24/02/2004,611
TC3801216387,Laetitia,C380,28/12/2016,387
TC6080404058,Beatrice,C608,24/04/2004,58
TC7421107270,Courtney,C742,10/11/2007,270
TC6021104605,Victoria,C602,02/11/2004,605
